occ1990,naics2,sh_change,sh_top12015,sh_top11980,top11980,top12015,sh_change_inc,over_inc,sh_change_pop,agg_inc1970,agg_inc1980,agg_inc1990,agg_inc2000,agg_inc2015,change,change_inc,change_pop,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,inctot1970,inctot1980,inctot1990,inctot2000,inctot2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,pop1970,pop1980,pop1990,pop2000,pop2015,sh_top11970,sh_top11990,sh_top12000,top11970,top11990,top12000,us_change,us_change_inc,us_change_pop,us_inc1970,us_inc1980,us_inc1990,us_inc2000,us_inc2015,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,us_pop1970,us_pop1980,us_pop1990,us_pop2000,us_pop2015,xsh_top1,xsh_top1_90
"Managers of medicine and health occupations","62",.0268846,.0082882,.0026707,.0243519,.0171579,.0077304,-.0021501,.0098805,9.95e+08,2.11e+09,7.36e+09,2.11e+10,4.84e+10,7541,4.63e+10,482207,.312991,.2823068,.2847535,.330565,.3652508,12144.38339,20762.95169,33563.16445,55521.927,82904.89877,2900,2480,3688,6734,10021,81900,101840,219381,380637,584047,.0039693,.0033159,.0052307,.035409,.0168109,.0176914,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0056174,.0049722
"Computer software developers","54",.0262999,.0062833,.0002369,.0033273,.0094963,.0126811,-.0023561,.0150372,2.78e+08,1.13e+09,5.68e+09,3.30e+10,7.71e+10,7377,7.60e+10,733875,.3442389,.161459,.2184184,.340458,.3712783,10657.08812,17077.71325,35200.1314,65698.40131,96363.7625,100,220,945.0001,6911,7597,26100,66120,161338,502791,799995,.0001369,.0008497,.0053682,.0038314,.0058573,.0137453,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0060464,.0054337
"Retail sales clerks","44-45",.0253552,.0059318,.0000646,.0030303,.0023435,.0152553,-.0470476,.0623029,7.42e+09,1.52e+08,4.29e+08,7.56e+10,9.15e+10,7112,9.14e+10,3040636,-.2951631,-.3060356,-.2959276,-.2183054,-.2727518,4215.925358,7664.823232,12467.00029,25640.61046,29908.49424,5300,60,24,15373,7172,1760400,19800,34413,2948315,3060436,.0072543,.0000216,.0119411,.0030107,.0006974,.0052142,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0058672,.0059102
"Supervisors and proprietors of sales jobs","42",.0214514,.0109977,.0078399,.0505205,.0283681,.0063368,-.0003149,.0066517,,3.35e+09,2.55e+10,2.78e+10,4.13e+10,6017,3.80e+10,324630,,.2211049,.3358237,.3128876,.3467628,,23262.98681,43088.80891,62409.06236,88132.78079,,7280,19319,13722,13297,,144100,592409,445456,468730,,.0173699,.0106586,,.0326109,.0308044,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0031577,-.0063723
"Managers of properties and real estate","53",.0197686,.0079772,.0044153,.0292565,.0207717,.0052205,-.0014223,.0066427,4.26e+08,2.19e+09,1.14e+10,1.69e+10,3.35e+10,5545,3.13e+10,324193,-.2088147,-.0595071,.1890314,.2031862,.2147965,7079.318937,15630.52019,36708.43072,51895.5951,72064.07139,900,4100,12490,8153,9645,60200,140140,310152,326092,464333,.0012319,.0112299,.0063329,.0149502,.0402706,.0250021,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0035618,-.0032527
"Registered nurses","62",.0195298,.0056225,.0014215,.0011761,.0023824,.0287737,-.0066951,.0354688,4.14e+09,1.37e+10,4.55e+10,8.22e+10,1.86e+11,5478,1.72e+11,1731022,.2154895,.2578982,.3019189,.2609064,.3538513,5543.23147,12250.53066,27308.44429,41233.49967,65223.19954,1100,1320,2290,4789,6798,746100,1122380,1665710,1992809,2853402,.0015056,.002059,.0037199,.0014743,.0013748,.0024031,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.004201,.0035635
"Computer systems analysts and computer scientists","54",.0190449,.0046498,.0003015,.005719,.0072,.0099731,-.005023,.0149961,2.04e+08,1.12e+09,5.50e+09,2.75e+10,6.09e+10,5342,5.97e+10,731871,.311034,.3065156,.3099025,.2833205,.2344182,13334.31373,22905.07149,41999.54181,57351.35622,77944.81909,100,280,1369,5508,5622,15300,48960,131004,478825,780831,.0001369,.0012309,.0042784,.0065359,.0104501,.0115032,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0043483,.003419
"Lawyers ","52",.0174727,.0047317,.0008831,.0561644,.1301144,.0013602,.0007585,.0006018,1.16e+08,4.52e+08,1.70e+09,3.83e+09,8.60e+09,4901,8.15e+09,29369,.1528258,.3339265,.5009227,.6253867,.7419813,16124.30556,30935.63699,73668.52191,135178.7489,195582.5842,600,820,2525,4767,5721,7200,14600,23050,28301,43969,.0008212,.0022703,.0037028,.0833333,.1095445,.1684393,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0038486,.0024615
"Physicians","61",.0154762,.005261,.0021754,.1784452,.1830135,.0010881,.0006079,.0004802,1.51e+08,4.37e+08,1.19e+09,1.90e+09,6.95e+09,4341,6.52e+09,23437,.2260615,.4321919,.3937729,.4651313,.665361,18360.36585,38602.19081,75677.9026,122014.403,200101.1267,1300,2020,2454,2365,6361,8200,11320,15780,15547,34757,.0017794,.0022064,.001837,.1585366,.1555133,.1521194,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0030857,.0030546
"Computer software developers","51",.0141429,.003281,0,0,.044381,.0017447,.0001206,.0016241,4.15e+07,1.94e+08,8.16e+08,4.20e+09,1.06e+10,3967,1.05e+10,79265,.4152857,.3997819,.3768055,.4144709,.5258339,9639.534884,19146.15613,35709.99934,63959.90291,119091.6422,0,0,66,529,3967,4300,10120,22837,65731,89385,0,.0000593,.0004109,0,.00289,.008048,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.003281,.0032217
"Accountants and auditors","52",.0121999,.0033596,.0006892,.0062757,.0185898,.0028365,.0004488,.0023876,5.25e+08,1.61e+09,6.82e+09,1.18e+10,1.86e+10,3422,1.70e+10,116527,.1705506,.1988487,.2963287,.2801996,.355755,8667.739274,15792.323,31100.90421,52935.05255,85129.55548,100,640,2255,4719,4062,60600,101980,219129,223061,218507,.0001369,.0020275,.0036655,.0016502,.0102907,.0211556,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0026704,.0013321
"Subject instructors (HS/college)","61",.0114547,.0061642,.0045661,.0082206,.0056664,.0115597,-.0048227,.0163824,3.06e+09,9.27e+09,2.10e+10,4.45e+10,7.85e+10,3213,6.92e+10,799528,-.1618839,-.1911913,-.3375311,-.3293284,-.3539629,9931.367771,17972.90318,31360.36283,45106.37918,59692.57911,5300,4240,5235,5646,7453,307800,515780,670350,986728,1315308,.0072543,.0047068,.0043856,.017219,.0078094,.0057219,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0015981,.0014574
"Lawyers ","51",.0086312,.0021347,.0001723,.0860215,.3344997,.0003366,.0002166,.00012,2.14e+07,6.36e+07,2.68e+08,8.52e+08,2.08e+09,2421,2.02e+09,5856,.3930115,.5270856,.8137587,.7665018,1.150477,15314.28571,34193.76344,99219.03628,153437.929,269531.6433,100,160,671,1417,2581,1400,1860,2701,5550,7716,.0001369,.0006033,.0011007,.0714286,.2484265,.2553153,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0019624,.0015314
"Veterinarians","54",.0085813,.0019908,0,0,.0384751,.0011119,-.0001663,.0012782,5855000,4195700,2.07e+09,4.54e+09,6.66e+09,2407,6.66e+09,62380,.1079855,.2001634,.0838554,.1766548,.1600205,19516.66667,23309.44444,54099.24077,86305.70941,106529.6261,100,0,2712,2298,2407,300,180,38310,52611,62560,.0001369,.0024384,.001785,.3333333,.0707909,.0436791,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0019908,-.0004476
"Office supervisors","54",.0077613,.0022141,.0005385,.0143926,.0173725,.0017802,-.0006654,.0024456,2.12e+07,6.22e+08,1.03e+09,6.99e+09,1.13e+10,2177,1.07e+10,119354,.4541452,.3342962,.417742,.2832385,.2906513,8474,17915.10938,30437.3674,44576.97001,73239.89768,0,500,243,1681,2677,2500,34740,33838,156873,154094,0,.0002185,.0013057,0,.0071813,.0107157,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0016756,.0019956
"Computer software developers","31-33",.0075795,.0019238,.0002154,.0022836,.0114666,.0032658,.0009039,.0023619,5.68e+08,1.69e+09,5.18e+09,1.75e+10,2.12e+10,2126,1.96e+10,115270,.3006943,.2924473,.3247945,.3611911,.4408252,9932.167832,19248.32268,36302.25711,65144.64098,104749.6591,0,200,453,2051,2326,57200,87580,142786,268971,202850,0,.0004073,.0015931,0,.0031726,.0076254,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0017084,.0015165
"Accountants and auditors","31-33",.0074547,.0027054,.0012708,.006441,.0174198,.0019183,.0018246,.0000937,1.59e+09,3.55e+09,7.20e+09,1.12e+10,1.50e+10,2091,1.15e+10,4575,.1987956,.2532116,.2880177,.2434763,.2900234,10696.47414,19368.58679,34423.89939,50988.41292,80092.19966,500,1180,1695,1710,3271,148900,183200,209019,220628,187775,.0006844,.001524,.0013283,.003358,.0081093,.0077506,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0014346,.0011814
"Computer systems analysts and computer scientists","52",.0073727,.0017435,.0000431,.0022222,.0079831,.003716,-.0013258,.0050418,6.15e+07,3.69e+08,1.59e+09,9.45e+09,2.26e+10,2068,2.23e+10,246058,.272592,.412782,.461954,.4040718,.4185577,9602.34375,20505.22222,39297.19916,55469.55925,85694.79061,0,40,186,1629,2108,6400,18000,40491,170372,264058,0,.0001672,.0012653,0,.0045936,.0095614,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0017004,.0015762
"Salespersons, n.e.c.","51",.0072978,.0018088,.0001508,.0048011,.018444,.001307,-.0005251,.0018321,1.51e+08,4.84e+08,2.01e+09,5.48e+09,8.31e+09,2047,7.83e+09,89415,.0544457,.3012852,.2254564,.2446311,.2572799,6941.013825,16611.98903,29523.11369,45646.06638,70112.73345,200,140,314,1864,2187,21700,29160,67931,120160,118575,.0002737,.0002823,.0014479,.0092166,.0046223,.0155126,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0016581,.0015265
"Managers in education and related fields","61",.0072515,.0034357,.0022831,.0063333,.0057437,.0079194,-.0000406,.00796,2.47e+09,7.20e+09,1.84e+10,3.09e+10,5.46e+10,2034,4.74e+10,388482,.0126035,.064473,.0239571,.0711162,.0675644,12606.93524,21523.33124,36343.79135,54286.91278,75555.04179,2500,2120,3569,4470,4154,196100,334740,507251,569973,723222,.0034218,.0032089,.0034721,.0127486,.007036,.0078425,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0011526,.0002268
"Other financial specialists","54",.0067773,.0022505,.0008831,.0162569,.0236036,.001309,-.0000195,.0013286,,5.82e+08,1.30e+09,3.94e+09,8.42e+09,1901,7.84e+09,64839,,-.5483237,-.0385252,-.2622737,-.0392289,,11545.95757,35417.3629,41935.94051,73070.5244,,820.0001,1307,1601,2721,,50440,36699,93993,115279,,.0011751,.0012436,,.0356141,.0170332,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0013674,.0010753
"Petroleum, mining, and geological engineers","21",.0064636,.0021281,.0008185,.0417124,.0643684,.0008269,.0003811,.0004457,1.15e+08,5.49e+08,9.99e+08,1.17e+09,5.50e+09,1813,4.95e+09,21753,.1669129,.4511732,.4162961,.3872274,.7137297,13998.17073,30142.0966,56462.24037,80265.8963,137647.6947,200,760,547,297,2573,8200,18220,17702,14619,39973,.0002737,.0004918,.0002307,.0243902,.0309005,.020316,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0013096,.0016363
"Managers and specialists in marketing, advertising, and public relations","52",.0063531,.0039055,.0031661,.0614035,.0587957,.0013442,.0006797,.0006645,4.65e+08,1.35e+09,2.14e+09,8.26e+09,9.40e+09,1782,8.05e+09,32432,.4408073,.3953901,.558068,.5506864,.5764878,16740.64748,28140.44486,53276.54734,77454.97446,117036.4127,2600,2940,2583,6308,4722,27800,47880,40178,106640,80312,.0035587,.0023224,.0048998,.0935252,.0642889,.0591523,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0007393,.0015831
"Computer software developers","52",.0063388,.0014871,.0000215,.0005238,.0109437,.00266,.0000759,.0025841,1.82e+08,5.99e+08,2.85e+09,8.66e+09,1.65e+10,1778,1.59e+10,126116,.3880273,.2325911,.36519,.4254552,.415121,9059.452736,15699.52855,34491.03247,63514.28587,100631.8378,0,20,134,1442,1798,20100,38180,82665,136382,164296,0,.0001205,.0011201,0,.001621,.0105732,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0014655,.0013666
"Managers and specialists in marketing, advertising, and public relations","51",.0059716,.0021297,.0009692,.02267,.0393809,.0010051,.0004787,.0005263,2.23e+08,8.69e+08,2.29e+09,6.42e+09,6.89e+09,1675,6.02e+09,25687,.2248594,.2782704,.4370935,.4539,.4911826,10677.51196,21888.24433,43924.90065,68418.51552,105363.8098,200,900,1420,3729,2575,20900,39700,52227,93898,65387,.0002737,.0012767,.0028965,.0095694,.027189,.0397133,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0011605,.000853
"Lawyers ","31-33",.0055402,.0028071,.0019815,.1697417,.1627662,.0006791,.000474,.0002051,1.80e+08,4.58e+08,1.17e+09,2.34e+09,4.53e+09,1554,4.07e+09,10012,.4699791,.5854529,.7305544,.7548732,.8805338,23140.38462,42282.12177,97654.07134,161007.0637,217078.7562,1100,1840,2726,3758,3394,7800,10840,11957,14560,20852,.0015056,.002451,.002919,.1410256,.2279836,.2581044,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0008256,.0003561
"Financial managers","54",.0053263,.0015665,.0004308,.0322061,.0349318,.0009395,.000083,.0008565,4.68e+07,3.29e+08,1.51e+09,3.59e+09,5.96e+09,1494,5.63e+09,41800,.4688483,.4153756,.5007138,.5333686,.5091238,18710,26493.21256,49245.15293,76652.43886,109862.9837,300,400,1205,2019,1894,2500,12420,30622,46858,54220,.0004106,.0010834,.0015683,.12,.0393508,.0430876,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0011357,.0004831
"Other financial specialists","53",.0052336,.0016277,.0005385,.0859107,.1304175,.0003426,.0001527,.0001899,,1.35e+08,5.17e+08,8.68e+08,2.19e+09,1468,2.05e+09,9270,,.4895492,.5126371,.4856916,.590423,,23136.39175,58103.22468,86638.40607,144926.2667,,500,744,874,1968,,5820,8897,10013,15090,,.0006689,.0006789,,.0836237,.0872865,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0010892,.0009588
"Computer systems analysts and computer scientists","44-45",.0052122,.0012257,.0000215,.0040161,.0130943,.0012337,-.0009834,.002217,1.73e+07,1.05e+08,6.27e+08,5.29e+09,7.49e+09,1462,7.39e+09,108199,.2964689,.3548515,.3450346,.2372535,.21099,11536.66667,21037.22892,37584.71435,47976.6466,66218.17926,0,20,157,600,1482,1500,4980,16688,110180,113179,0,.0001412,.0004661,0,.009408,.0054456,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0012042,.0010846
"Actuaries","52",.0048343,.0012869,.0002154,.0292398,.068135,.000452,.0001242,.0003278,5.80e+07,1.72e+08,6.97e+08,1.18e+09,2.88e+09,1356,2.71e+09,15997,.3807993,.4256301,.5268928,.5495902,.5646765,16123.61111,25105.24854,53835.4299,88293.96084,126071.893,200,200,531,849,1556,3600,6840,12945,13329,22837,.0002737,.0004774,.0006595,.0555556,.0410197,.0636957,280495,5.99e+12,4.88e+07,5.14e+11,1.28e+12,2.74e+12,4.59e+12,7.27e+12,730600,928580,1112210,1287406,1209075,7.32e+07,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0010716,.0008095
"Human resources and labor relations managers","54",.0047773,.0012075,.0001292,.016129,.0358775,.0007371,.0000557,.0006814,,1.73e+08,5.70e+08,1.99e+09,4.59e+09,1340,4.42e+09,33254,,.33833,.5030263,.4975205,.5390646,,23233.26613,44593.32921,66443.01102,112742.2051,,120,312,629,1460,,7440,12785,29938,40694,,.0002805,.0004886,,.0244036,.0210101,280495,5.99e+12,4.88e+07,,1.28e+12,2.74e+12,4.59e+12,7.27e+12,,928580,1112210,1287406,1209075,,9.33e+07,1.11e+08,1.24e+08,1.42e+08,.0010783,.000927
